header,header,header
"Security Breaches","Phendrana Drifts - Research Lab Hydra","Most terraforming and retrofitting of security checkpoints on Tallon IV is complete, but we continue to research the alarming epidemic of breaches by local creatures. Door records show no unauthorized entries, so we must presume the creatures are either slipping in undetected during daily personnel moves or else finding their way through subterranean tunnels. We have found many small breaches of the latter sort and plug them whenever we can, but it is unlikely that we will ever achieve full extermination within our current timetable."
"Phazon Analysis","Phendrana Drifts - Research Lab Hydra","We have codified the newfound energy source as Phazon, a V-index mutagen of which we have very little reliable data. Indications point to a meteor of unknown origins impacting an indeterminable time ago, expelling Phazon into the environment. This material appears to possess lifelike characteristics, mutating organic life-forms strong enough to withstand its poison. There mutations appear promising, with abrupt evolutionary leaps appearing in single-generation reproduction. Plans to establish a Science Team on Tallon IV are being finalized."
"Omega Pirate","Phazon Mines - Omega Research","Elite Pirate Upsilon's propensity for Phazon has enabled our research team to infuse it far beyond our safety restrictions, and the results have been extremely encouraging. Its constant Phazon diet has increased its mass exponentially, but it has retained all mental faculties and shows dexterity with all Elite weaponry, including Plasma Incendiary Launchers and the Chameleon Manta issued for cloaking purposes. Elite Pirate Upsilon exhibits miraculous healing abilities: when injured, it seeks out Phazon deposits and coats itself in the substance, which instantly mends the creature's wounds. The subject, which we are code-naming Omega Pirate based on these developments, shows potential to be a new standards for our armies. Our only concern at this point is its potential overdependence on Phazon."
"Contact","Phendrana Drifts - Observatory","Scans of the Spiral Sector detected a massive energy spike emanating from a Wanderer-class planet identified as Tallon IV. Scout reconnaissance was immediately dispatched to the center of the spike, a land mass at heading mark 40.08.02, returning with planetary samples and atmospheric imaging. Analysis shows the energy source to be an unstable radioactive material of enormous potential. We are unable to form an accurate risk-assessment at this time, but we are unlikely to find an energy source this powerful again. Analysis will continue, but currently Tallon IV appears to be a viable secondary headquarters."
"Chozo Ghosts","Phazon Mines - Elite Control","There have been numerous incidents involving spectral entities at Chozo Ruins sites. Several personnel have been assaulted by these Chozo Ghosts; few have survived. Survivors speak of swift attacks from nowhere, brief sightings of the enemy, then nothing, only to be followed by another attack. Science Team believes these attacks are in response to our efforts to recover Chozo relics and Artifacts. Somehow, these entities are able to interact with the physical world, and it appears they wish to keep their Artifacts to themselves. We will make them pay for such arrogance, for even ghosts can be destroyed."
"Prime Breach","Phazon Mines - Elite Control (Only in original NTSC version)","Subject Metroid Prime's breach has been contained. Reports indicate that it sensed a large batch of raw Phazon in the lab from within its stasis tank and broke through the glass, using previously unsuspected strength. Besides consuming all of the Phazon, Metroid Prime assimilated several weapons and defense systems from fallen security units. It has suffered no ill effect from said assimilation: indeed, it began to use its newly acquired weapons against us. Once we pacified it, we were unable to remove the assimilated gear without threat to Metroid Prime — the gear is now an integral part of its body. Command is intrigued by this newfound ability, and has ordered further study to commence at once."
"Gate System","Phazon Mines - Elite Control (Only in PAL/Trilogy version)","Analysis continues on these cursed ruins and the Chozo temple that hovers near them. We are now completely certain that the containment field denying us access to the impact crater is linked to strange artifacts that belong in the temple... but we are no closer to finding them or deciphering the riddles that seem to cover every wall of this ruined place. Command grows increasingly anxious for a resolution to this matter, so we must redouble our efforts. X-ray squads will begin terrain sweeps within days - until they begin, patrols are instructed to report any and all architectural anomalies to their commanders."
"Parasite Larva","Phendrana Drifts - Research Lab Hydra","Our initial tests exposing Tallon IV's indigenous Parasites to Phazon appears to be successful. Increases in size, strength and aggressiveness are common in all test subjects, as well as unforeseen evolutions like addition poison sacs within the abdomen and the appearance of a second ring on mandible in several subjects. These creatures were chosen because of their resilience, and it appears possible that, given enough exposure to Phazon, they many be able to survive on any planet we transport them to. Our methods will have to be refined; we currently have 100% extinction rate after the forth infusion period, and most survivors of the third infusion stage are so violent and uncontrollable that they have to be euthanized. Even still, we remain hopeful that further experimentation will result in success."
"Meta Ridley","Phendrana Drifts - Research Lab Aether","The reconstruction of geoform 187, code-named Ridley, was recently completed. After his defeat on Zebes, Command ordered a number of metagenetic improvements for him. Though aggressive, we were able to implement these changes in a cycle. The metamorphosis was painful, but quite successful in the end. Early tests indicate a drastic increase in strength, mobility, and offensive capability. Cybernetic modules and armor plating have been added as well. We believe our creation, now called Meta Ridley, will become the mainstay of our security force, a job he will certainly relish."
"Phazon Program","Phendrana Drifts - Observatory","Phazon mining is under way. Several garrisons have been established and terraforming of the Chozo Ruins is under way. Security systems are operational, and Science Team continues to make progress in their biotech research. The Phendrana Drifts have proven to be an optimal location of Research Headquarters, and soon it will be joined by a fully operation Combat base and starport. If Command's predictions are half true, we shall rise dominant of this sector within a deca-cycle. Truly, these are glorious times."
"Metroid Morphology","Phendrana Drifts - Research Lab Aether","Metroid dissection continues to produce more questions than answers. Our research teams have isolated the energy conduits that run from the invasive twin mandibles to the energy core in the creature's quadripartite nucleus, but the manner in which the Metroid actually extracts the life force from its pray remains an utter mystery. The victim does not lose blood or any other vital fluids, and yet the Metroid extracts energy; identifying this energy is our central problem. It takes no physical form, and yet without it, the victim dies. We will continue to research this matter, as the isolation of this life-giving essence could be the key to our ascendance."
"Chozo Artifacts","Phazon Mines - Elite Control (Only in original NTSC version)","We are particularly interested in a number of curious Chozo Artifacts we have been able to recover from a number of religious sites on Tallon IV. These relics resonate with power, and yet we are unable to harness them in any way. Science Team is attempting to fuse them together with Phazon, believing that a link might exist between them. We know that these Artifacts are linked to the Chozo Temple that block full access to the Impact Crater. We have yet to crack this enigma, however. Command grows impatient regarding this matter: results must be produced soon."
"Artifact","Phazon Mines - Elite Control (Only in PAL/Trilogy version)","We have come to another dead end. It is clear now that we will never discover the locations of the Chozo's artifacts until we can decipher the messages carved into the statues in this abominable temple. Our language databases are woefully inadequate, and our linguistic analysts can come up with little more than vague theories. The best hypothesis we can offer is that finding the artifacts will require items spiritually linked to the Chozo civilization. However, without these items, we are lost, and Command grows more impatient by the day. Results must be produced soon."
"Phazon Infusion","Phendrana Drifts - Research Lab Aether","Confidence is high regarding Phazon applications. We know enough about Phazon now to begin combining it with Space Pirate DNA. The code name for this venture will be 'Project Helix'. Preliminary studies indicate that Phazon infusion could produce radical Pirate genomes. Benevolent mutation levels are high in current test subjects. Phazon madness is a concern, but refinements in the infusion process should reduce or neutralize the the odds of mental degeneration."
"Metroid Studies","Phendrana Drifts - Research Lab Aether","Initial transfer of Metroids to Tallon IV research facilities has been completed. Three were terminated in an incident at the landing site, but the others were pacified and transported safely. Initial Phazon infusion testing is under way. We are eager to observe the effects of Phazon on Metroids, especially their ability to absorb and process the energy give off by Phazon sources. Early research suggest a considerable growth in power and size. Whether the creatures will stay stable thereafter remains to be seen."
"The Hunter","Phazon Mines - Elite Control","Security Command issued an all-points alert after the fall of Zebes. The alert concerns bioform Samus Aran, also known as the Hunter. Subject is a female hominid, and is heavily armed and extremely dangerous. Subject uses a powered armorsuit of unknown design in battle, along with a number of potent Beam and concussive weapons. All combat units are instructed to terminate Aran on sight, preferably in a fashion that will allow salvage of her powered armorsuit and weapons. A considerable bounty will go to the unit who delivers Aran to Command. Dead or alive, it matters not."
"Elite Pirates","Phazon Mines - Elite Research","Initial Project Helix experiments with Space Pirate embryos were disastrous. The Phazon-infusion process degenerated brain tissue even as it augmented muscle mass. None of what termed Elite Pirates lived to maturity; the few that survived their infanthood suffered severe psychotic breakdowns as juveniles, killing anything within their zone of perception. Research team Sclera made a recent breakthrough, in which parasite studies with a Phazon strain code-named Vertigo were highly successful. Since then we have successful fused Vertigo Phazon with Space Pirate DNA with great success. The latest batch of Elite Pirates have reached maturity successfully and are ready for field testing and training."
"Glacial Wastes","Phendrana Drifts - Research Lab Hydra","Research outpost Glacier One in Phendrana Drifts region of Tallon IV's mountains is operating at 85% capacity. Sub-zero temperatures have made the Metroids sluggish and easy to control, even those well into Phazon infusion cycles. Cold containment status are sufficient for the juveniles, but some of the larger Metroids have been moved to quarantine caves for safety purposes. Security doors remain an issue, as malfunctions due to ice occur everyday. Large predators in the waster are also a concern, as they continue to kill personnel and breach secure areas. Unfortunately, it has become clear that our containment teams cannot neutralize all of them without a vast increase of munitions and soldiers."
"Hunter Weapons","Phazon Mines - Elite Control","Science Team is attempting to reverse-engineer Samus Aran's arsenal, based off data acquired from here assaults on our forces. Progress is slow, but steady. Command would dearly enjoy turning Aran's weapons against her. We believe we can implement Beam weapon prototypes in three cycles. Aran's Power Suit technology remains a mystery, especially the curious Morph Ball function. All attempts at duplicating it have ended in disaster; four test subjects were horribly broken when they engaged out Morph Ball prototypes. Science Team wisely decided to move on afterward."
